Account_ID,Customer_ID,Account_Type,Branch_Code,Balance_PHP,Credit_Score,Interest_Rate,Loan_Amount_PHP,Loan_Type,Loan_Status,Transaction_ID,Transaction_Type,Transaction_Amount_PHP,Transaction_Date,Merchant_ID,Merchant_Category,Card_Type,Credit_Limit_PHP,Overdue_Amount_PHP,Monthly_Income_PHP
269749,4212,Current,MNL,55723.07,343,1.02,85395.27,Auto,Approved,4228002,Debit,32588.64,1/10/2023,551971,Healthcare,Credit,98202.6,1530.11,10776.54
296703,3445,Time Deposit,GEN,87894.76,622,1.47,17468,Business,Rejected,7249739,Credit,13941.88,6/21/2023,543688,Healthcare,Credit,17807.74,9539,76254.01
287437,1186,Time Deposit,ILO,3763.34,577,6.05,262858.56,Business,Approved,8338914,Debit,3921.51,11/11/2023,948978,Shopping,Credit,45397.99,1104.79,52777.15
432720,8306,Time Deposit,MNL,53062.12,317,5.99,171943.55,Business,Approved,5505228,Debit,12026.12,12/8/2022,989016,Shopping,Debit,96367.43,23887.11,96226.16
525475,6777,Current,MNL,96785.15,431,4.13,337963.71,Personal,Pending,4305427,Credit,35949.28,7/20/2023,719816,Travel,Debit,49704.85,1413.75,78483.47
106865,8898,Savings,MNL,96642.19,460,7.9,294034.71,Personal,Approved,9369019,Credit,5593.84,4/1/2022,895490,Travel,Credit,79160.64,4379.98,39811.25
762173,8054,Savings,DVO,68467.5,600,5.58,259989.19,Auto,Approved,8231254,Debit,7146.71,1/26/2023,175003,Shopping,Debit,17606.3,23554.33,22876.46
136333,1818,Savings,GEN,93093.4,571,8.89,121686.26,Auto,Closed,2768706,Debit,11906.6,3/21/2023,782222,Utilities,Debit,69185,28385.13,93621.87
272034,2228,Time Deposit,ILO,24904.57,781,8.68,138071.88,Home,Pending,8438122,Debit,35977.25,2/26/2023,274956,Travel,Debit,22247.15,5206.66,35256.37
402934,2882,Savings,ILO,84387.16,471,8.18,57642.66,Personal,Approved,1282344,Credit,44631.71,1/10/2023,777860,Healthcare,Credit,20942.23,29335.39,61150.61
830782,6999,Current,GEN,39955.57,768,6.99,178179.21,Personal,Pending,4780976,Credit,13162.75,2/1/2023,756936,Utilities,Credit,74742.09,12262.18,84295.47
570324,7738,Savings,CEB,44675.72,664,5.55,27480.13,Personal,Closed,7339425,Credit,17925.57,12/23/2022,381543,Healthcare,Credit,42177.6,1169.78,29688.95
469038,3993,Current,CEB,51008.35,535,2.6,401502.8,Home,Closed,4320499,Debit,48631.22,10/28/2023,105157,Utilities,Credit,29110.08,29739.43,11074.02
305513,8439,Savings,DVO,70270.2,617,4.72,407293.94,Personal,Rejected,1327524,Debit,27196.14,11/28/2023,863835,Shopping,Credit,83174.32,1095.05,96097.12
481380,4683,Time Deposit,ILO,70356.24,723,7.64,445347.88,Personal,Approved,3181332,Credit,9581.04,3/28/2022,861022,Utilities,Credit,48595.05,26732.6,47650.98
197796,2830,Time Deposit,GEN,33201.82,342,6.93,468652.55,Business,Rejected,6586794,Debit,18546.95,12/31/2022,177835,Travel,Debit,72283.26,2319.55,35600.78
316690,8741,Current,CEB,66907.9,663,5.33,68036.55,Business,Closed,5771725,Debit,19220.5,3/15/2023,397368,Travel,Credit,90402.4,20555.85,21353.47
534148,2184,Time Deposit,MNL,5618.96,424,9.42,146851,Personal,Closed,3765789,Credit,15458.78,3/7/2023,306691,Utilities,Debit,59661.15,8083.72,30850.09
761603,6230,Current,MNL,79331.1,352,6.59,373531.72,Business,Approved,2954895,Credit,41920.04,5/8/2022,152427,Travel,Debit,71276.64,17478.55,94174.26
823771,3436,Current,DVO,53861.74,621,8.06,225452.4,Auto,Pending,6379483,Debit,38690.42,6/7/2023,812270,Travel,Debit,54687.12,8128.4,71180.44
398789,9871,Time Deposit,MNL,64487.21,539,8.19,288445.54,Personal,Rejected,9525956,Credit,9449.3,10/31/2023,330833,Utilities,Credit,36322.35,28533.06,52151.68
745225,9396,Current,CEB,50569.49,408,1.32,155990.17,Auto,Pending,6859156,Credit,10854.96,3/8/2022,299777,Utilities,Credit,36996.85,2970.77,52837.23
598144,3125,Current,ILO,15731.16,800,5.06,80987.9,Auto,Pending,1295686,Debit,7047.94,4/11/2022,856288,Shopping,Credit,45801.43,15558.69,17524.12
544841,9167,Current,CEB,7335.79,455,1.47,58446.56,Business,Rejected,3658607,Credit,12312.63,12/22/2023,820074,Travel,Debit,15955.55,11419.89,34382.01
693789,9324,Current,ILO,4843.81,826,4.35,286652.09,Auto,Approved,9230993,Credit,18162.62,7/25/2023,674864,Travel,Debit,45443.95,17347.98,64602.79
654116,1466,Current,ILO,52664.09,738,7.78,199250.43,Auto,Pending,3376136,Debit,37217.38,3/21/2022,452820,Healthcare,Debit,31865.75,5658.97,26331.38
942393,2670,Savings,MNL,5698.02,316,5.43,188157.79,Home,Rejected,3849832,Debit,33429.71,2/20/2023,753944,Utilities,Debit,53415.52,8026.38,64272.85
445418,4477,Savings,ILO,37742.54,801,2.31,246316.54,Home,Rejected,3855377,Debit,5546.32,6/13/2022,139670,Travel,Credit,70613.84,20997.5,29430.8
431400,5276,Savings,GEN,68882,796,7.6,357454.71,Home,Rejected,2408955,Credit,431.71,8/7/2022,482923,Healthcare,Credit,54533.95,9565.92,44422.11
507933,2265,Time Deposit,CEB,7478.99,807,3.01,498685.56,Auto,Pending,8317017,Debit,25407.78,10/4/2022,518437,Travel,Credit,88014.26,16077.96,46569.54
270615,3869,Time Deposit,DVO,34701.38,330,5.23,325171.18,Home,Pending,5493143,Debit,44045.69,2/16/2022,214474,Utilities,Debit,25420.19,4263.35,42487.53
525240,4126,Current,CEB,14020.34,729,9.54,170536.98,Auto,Approved,9871545,Debit,48658.23,9/13/2023,940347,Healthcare,Debit,44691.39,17393.44,75296.87
645997,4872,Current,GEN,47374.48,652,6.57,488040.99,Home,Approved,1253633,Debit,39115.24,9/21/2023,708471,Groceries,Credit,47917.63,15264.53,37358.85
207911,5776,Time Deposit,GEN,33756,446,1.84,327042.55,Business,Closed,7093661,Credit,45236.9,10/19/2023,650482,Healthcare,Credit,26849.85,14734.95,22620.03
665661,7900,Current,DVO,10660.79,409,2.23,142925.96,Business,Approved,7899131,Credit,44860.11,1/14/2022,161715,Travel,Debit,84399.34,7441.13,66512.94
674826,2132,Current,GEN,84064.21,513,1.32,307621.78,Auto,Closed,3054537,Debit,2904.77,9/5/2022,761572,Utilities,Debit,60752.54,18607.85,73194.3
281791,2324,Time Deposit,CEB,68656.38,380,8.09,390165.2,Business,Pending,7208958,Credit,32329.42,11/28/2023,906964,Utilities,Credit,22646.34,733.99,27673.18
975630,7391,Savings,ILO,31329.09,377,5.19,282142.08,Business,Approved,1175347,Debit,11477.46,4/8/2022,738931,Groceries,Credit,9377.35,10556,83448.19
774934,1398,Time Deposit,CEB,2579.65,475,5.1,242706.75,Personal,Closed,1639703,Debit,15087.24,12/24/2023,352112,Utilities,Debit,48603.96,25066.88,92015.91
687839,3200,Current,MNL,57963.97,754,5.11,12325.1,Home,Pending,8875150,Debit,13298.96,4/9/2022,445651,Groceries,Debit,18277.25,12180.09,22293.99
165464,1960,Current,DVO,66500.35,503,2.85,166744.49,Business,Rejected,2054651,Credit,26552.26,4/9/2022,520837,Utilities,Debit,77497.98,22387.23,16156.23
255193,4939,Savings,CEB,4663.18,312,3.33,152415.3,Auto,Rejected,4679404,Credit,8095.79,10/24/2023,523322,Travel,Debit,56127.5,9552.83,77901.31
845898,3583,Savings,GEN,24518.95,636,6.74,264620.98,Business,Closed,5001909,Debit,35566.84,7/1/2022,646905,Healthcare,Credit,13691.27,7971.4,48953.77
192976,9194,Time Deposit,ILO,8897.81,628,9.95,154837.9,Auto,Closed,7605516,Credit,1050.39,1/23/2022,223538,Shopping,Credit,77528.8,16757.24,85834.96
985048,1885,Savings,GEN,74740.37,395,8.67,440206.65,Personal,Approved,4946303,Credit,39472.43,4/30/2023,127399,Travel,Credit,86383.17,23697.44,36177.74
922435,1561,Current,DVO,50589.87,343,9.99,332826.74,Home,Approved,5981739,Credit,26615.61,8/2/2022,817085,Groceries,Debit,5370.78,11264.01,44413.77
776956,6733,Time Deposit,MNL,86406.18,831,3.87,291555.15,Personal,Pending,2467890,Debit,10738.32,8/18/2022,987975,Healthcare,Debit,71159.29,22455.38,94359.27
769173,5119,Savings,CEB,35108.2,689,9.43,386951.24,Personal,Pending,9627500,Credit,45359.04,12/21/2022,816346,Shopping,Credit,73739.67,14415.95,85399.35
757065,5171,Current,ILO,67964.72,749,6.83,489764.6,Business,Rejected,5656930,Credit,33270.47,4/9/2022,479836,Utilities,Debit,45991.66,16600.87,40837.63
474939,8705,Time Deposit,MNL,37947.76,509,6.08,78578.46,Personal,Pending,7272641,Debit,17013.51,9/12/2023,912359,Travel,Debit,50644.3,21780.72,84910.8
350618,3059,Time Deposit,ILO,38408.16,538,2.98,365411.73,Auto,Rejected,6483015,Credit,26468.56,10/23/2022,970345,Groceries,Debit,29310.74,22619.78,33679.68
664977,1126,Savings,MNL,14493.35,484,2.49,173074.16,Personal,Rejected,9664858,Credit,11895.66,4/18/2022,991812,Healthcare,Credit,52989.48,29396.38,91776.38
629446,7970,Time Deposit,CEB,64066.81,603,5.78,147481.28,Auto,Closed,6007451,Debit,43005,4/14/2022,907953,Healthcare,Credit,57614.41,24747.75,69940.95
664365,6561,Current,GEN,83874.36,532,7.4,82617.68,Auto,Pending,2867536,Credit,40048.75,7/14/2023,267175,Healthcare,Credit,35035.81,19674.2,95707.51
265511,4468,Savings,GEN,10599.8,536,9.15,170405.96,Business,Pending,7806952,Credit,17237.06,6/19/2022,857979,Travel,Debit,54977.94,16809.49,55505.72
811296,8153,Savings,GEN,91867.37,684,2.66,172625.42,Business,Rejected,8564783,Debit,16307.2,3/10/2022,426424,Healthcare,Debit,17359.07,15519.55,87813.4
596325,4567,Time Deposit,ILO,55838.58,612,6.33,423795.29,Business,Rejected,3634485,Debit,18451.82,11/8/2022,529837,Healthcare,Credit,53018.65,10196.3,20157.41
946931,9252,Current,ILO,24393.87,355,4.79,349870.4,Auto,Pending,2791006,Credit,27260.16,4/16/2022,646444,Utilities,Credit,63959.38,8537.75,95446.6
505091,1184,Current,CEB,71732.18,679,2.96,193354.49,Personal,Pending,4503791,Credit,40885.77,3/16/2023,111289,Travel,Credit,25006.33,18704.52,24663.62
818313,4802,Current,ILO,63807.06,356,3.63,353783.28,Personal,Closed,9411142,Credit,45957.4,3/17/2022,384713,Travel,Credit,38281.86,24295.2,48672.75
117974,9187,Current,MNL,54837.36,677,5.68,69450.82,Auto,Closed,6112619,Debit,1705.24,2/1/2022,852610,Groceries,Debit,62074.84,19219.71,84470.67
116843,9399,Time Deposit,CEB,46049.09,386,1.18,246567.97,Business,Rejected,2942017,Credit,11374.79,3/18/2022,283563,Travel,Debit,60243.75,17442.58,34969.03
974144,1210,Savings,MNL,83825.34,772,1.51,24541.75,Home,Rejected,1778862,Debit,21302.81,10/18/2022,218841,Groceries,Credit,46261.49,10208.34,32717.37
416579,5643,Current,GEN,76473.51,363,7.39,385253.59,Personal,Pending,3618699,Credit,9318.88,1/6/2023,664076,Shopping,Credit,25680.17,14652.61,90468.8
309429,8939,Current,ILO,32406.83,783,4.67,33857,Home,Closed,3851816,Credit,45393.67,7/29/2022,402865,Groceries,Credit,52568.71,15689.64,21803.34
292110,8789,Savings,DVO,6130.1,445,2.18,196790.63,Auto,Pending,1602923,Debit,30745.46,11/19/2022,639744,Healthcare,Credit,94683.66,1526.77,17455.89
887212,3979,Time Deposit,DVO,86131.55,327,9.23,357086.6,Personal,Pending,5227099,Credit,13200.21,12/24/2022,492866,Travel,Debit,42652.58,7202.09,75754.35
252766,3674,Current,DVO,24626.5,815,6.62,462078.63,Business,Rejected,4879829,Debit,42158.07,10/2/2022,440804,Utilities,Credit,69722.35,6042.45,42197.4
920782,7212,Time Deposit,CEB,7739.34,791,2.99,473721.38,Business,Closed,1710397,Credit,31755.92,9/17/2023,932591,Utilities,Debit,38899.43,27951.32,85908.2
831311,8138,Savings,MNL,94130.5,642,3.86,61599.3,Personal,Pending,4080013,Credit,7119.48,4/18/2023,589704,Healthcare,Debit,37662.45,24926.66,68139.61
577115,4043,Savings,GEN,74175.13,801,5.04,402895.74,Auto,Rejected,8688476,Credit,49370.84,12/20/2023,440361,Utilities,Credit,64411.97,20613.39,48181.15
912330,4886,Current,MNL,6832.54,499,1.72,329973.05,Business,Closed,8499346,Debit,26933.63,7/27/2023,155698,Travel,Credit,31017.88,8706.39,68812.32
741818,3283,Time Deposit,ILO,16640.36,717,4.69,287526.92,Home,Rejected,3828748,Debit,15172.23,6/8/2023,487427,Utilities,Credit,70771.36,27186.68,40294.03
324386,4185,Savings,CEB,83443.8,725,3.29,141543.19,Home,Pending,3478394,Debit,44716.86,9/12/2022,433204,Groceries,Credit,28884.36,22071.17,24891.29
358563,7886,Savings,CEB,22804.84,752,5.55,149304.91,Personal,Approved,7162145,Debit,32823.78,11/29/2022,236418,Travel,Credit,20344.83,15675.81,27512.5
557717,9783,Savings,MNL,78101.55,366,7.55,90037.96,Auto,Pending,9120587,Credit,33764.56,9/19/2023,936296,Travel,Debit,80558.92,7894.63,70932.5
457527,2220,Time Deposit,DVO,20263.21,377,5.79,310896.51,Personal,Closed,2301836,Debit,28992.57,8/8/2023,653552,Healthcare,Debit,44263.53,218.65,76588.38
816441,2910,Current,DVO,43591.66,694,3.44,133361.98,Personal,Pending,5669985,Credit,30970.99,8/7/2023,514417,Shopping,Credit,90586.67,28173.27,95745.31
320483,8173,Current,MNL,97276.14,439,7.54,204361.21,Auto,Pending,5915485,Debit,18197,11/1/2023,610214,Groceries,Credit,80904.34,10033.09,47588.88
533686,8516,Time Deposit,CEB,13789.08,808,6.89,296795.64,Business,Rejected,5719984,Debit,3175.46,8/16/2022,677613,Shopping,Credit,62626.35,7518.28,54928.76
109041,9320,Time Deposit,MNL,11885.92,409,6.85,440395.26,Auto,Approved,6199265,Debit,9339.68,12/6/2022,154650,Shopping,Credit,90813.96,4769.28,26224.26
920698,9373,Time Deposit,MNL,97791.71,518,5.24,236974.02,Auto,Approved,8425151,Debit,27544.51,9/7/2022,230449,Healthcare,Debit,41610.18,21257.4,44765.77
103198,8165,Savings,ILO,67385.65,713,7.2,14354.5,Auto,Pending,3356626,Debit,18797.3,7/11/2022,580226,Utilities,Debit,81923.63,12901.97,76887.59
445453,6552,Savings,DVO,7648.79,766,3.87,30820.49,Auto,Closed,3823348,Debit,8662.97,12/2/2023,734083,Shopping,Credit,71615.75,5886.95,85430.64
538408,9024,Current,CEB,25086.49,729,3.27,229283.26,Home,Approved,6541170,Credit,16095.18,2/19/2023,603487,Groceries,Debit,20919.99,4057.14,84274.12
492428,8487,Savings,MNL,6045.66,362,9.11,419221.22,Personal,Pending,6541700,Debit,20432.44,10/3/2022,688193,Shopping,Debit,12065.76,23894.99,76633.04
218682,4724,Time Deposit,MNL,36379.61,748,9.98,351002.98,Home,Approved,9415573,Credit,21397.82,1/8/2023,315006,Groceries,Credit,31812.57,10259.61,47937.64
567632,3348,Savings,GEN,45522.78,310,3.21,78091.58,Business,Approved,5570277,Credit,1346.58,9/19/2023,370008,Groceries,Credit,93326.44,7616.8,37915.49
736692,4221,Time Deposit,MNL,71554.15,302,8.22,432850.59,Home,Rejected,9867000,Debit,48329.52,3/20/2022,265979,Shopping,Debit,85042.1,15247.96,58878.73
104342,4902,Savings,GEN,48177.97,559,2.57,249528.95,Business,Approved,4411983,Credit,13525.49,9/7/2022,620504,Groceries,Credit,41415.65,22687.53,41956.85
329946,8637,Savings,ILO,9275.23,701,4.43,380565.69,Home,Rejected,8182857,Credit,44711.58,11/20/2022,975090,Healthcare,Debit,74127.28,460.56,51822.89
822199,1916,Time Deposit,GEN,91476.07,817,1.83,370599.19,Home,Approved,8921772,Credit,4711.48,10/14/2023,320674,Healthcare,Credit,22554.86,8244.94,57410.76
220264,6137,Time Deposit,DVO,29578.87,750,5.18,177292.78,Business,Rejected,8738877,Debit,10586.02,2/5/2023,151591,Healthcare,Debit,44223.61,7141.49,42500.95
632645,3159,Current,CEB,19682.83,563,9.87,311967.07,Auto,Rejected,2044579,Credit,17509.34,3/15/2023,271253,Utilities,Debit,9928.34,29242.12,57338.06
921696,2877,Savings,ILO,8982.63,506,5.24,223889.9,Auto,Approved,1596694,Credit,39552.91,12/10/2023,654400,Shopping,Debit,47494.28,15360.64,74280.74
175059,6138,Time Deposit,DVO,8082.84,807,5.82,111632.27,Home,Pending,6192116,Credit,10998.12,4/11/2022,324869,Utilities,Debit,55397.59,19639.07,42902.75
781389,5742,Savings,CEB,81031.06,748,2.22,197798.2,Home,Closed,2646232,Credit,40337.64,7/31/2022,791841,Shopping,Credit,51343.12,8807.06,44418.51
390365,5744,Savings,CEB,33423.47,773,2.22,150345.89,Business,Rejected,6986438,Debit,39228.83,8/13/2023,724468,Groceries,Credit,17419.59,11882.62,60574.5
790281,8194,Savings,CEB,31650.47,407,4.31,60989.05,Personal,Approved,9097031,Credit,11857.65,5/23/2023,661501,Travel,Credit,54290.48,15608.24,53070.44
954183,6499,Current,GEN,80113.75,595,9.84,331234.21,Auto,Approved,6134965,Credit,44015.05,8/22/2023,758985,Healthcare,Debit,81113.97,7036.28,71208.61
814877,8009,Time Deposit,MNL,71954.08,420,7.66,251671.05,Home,Rejected,1144666,Credit,8580.2,10/19/2022,502425,Groceries,Credit,75008.04,21164.71,64181.62
481558,6216,Time Deposit,DVO,50227.12,701,6.69,220443.94,Business,Pending,1692517,Debit,21293.71,8/20/2022,285227,Healthcare,Debit,54559.97,11717.79,57236.89
570166,8040,Savings,CEB,9675.46,360,4.07,436866.37,Home,Closed,8436279,Credit,30916.67,10/28/2023,215183,Groceries,Credit,9184.85,7892.36,52329.52
333827,8119,Savings,GEN,14876.64,443,8.6,355940.38,Personal,Pending,7275545,Credit,11049.94,3/12/2022,826048,Utilities,Credit,90299.85,8773.15,49241.52
348789,4219,Time Deposit,MNL,42845.22,736,7.47,458174.58,Business,Approved,7819646,Debit,34831.34,12/12/2023,254563,Utilities,Credit,11441.12,5402.98,82310.16
636274,1823,Savings,DVO,8460.68,410,5.95,461318.46,Business,Pending,6749875,Debit,24729.28,5/27/2022,313083,Healthcare,Credit,55245.09,19130.03,49940
235286,4397,Savings,CEB,6107.58,498,4.67,475790.88,Home,Pending,8304379,Credit,46573.73,7/31/2023,971841,Shopping,Credit,76227.19,7507.06,20918.69
427779,6049,Time Deposit,DVO,94521.22,464,2.76,302719.82,Home,Closed,1049447,Debit,23454.68,1/18/2023,168588,Healthcare,Credit,5579.86,24873.59,17369.59
398183,8776,Savings,ILO,20450.98,439,7.3,211779.52,Home,Closed,2150666,Credit,7276.34,5/25/2023,211641,Groceries,Credit,92126.35,16212.78,28919.51
853368,9117,Current,ILO,78733.47,428,7.68,334006.73,Personal,Pending,9702289,Debit,32217.23,9/25/2023,252832,Groceries,Debit,89547.67,15128.54,82029.6
276885,6133,Savings,DVO,55712.66,422,4.57,490609.79,Personal,Approved,1385124,Debit,10857.74,9/27/2022,522200,Healthcare,Credit,29884.43,8595.33,64270.32
312879,8903,Current,CEB,59509.66,385,1.16,193782.22,Auto,Approved,8509601,Credit,21433.88,1/30/2022,716944,Travel,Debit,94708.31,28490.53,83910.77
116026,5194,Current,DVO,44916.76,549,9.4,137479.53,Home,Closed,2646175,Debit,10406.34,8/22/2022,442926,Healthcare,Debit,57508.95,23225.61,94991.34
259666,7945,Time Deposit,ILO,9888.18,603,2.14,44799.81,Home,Rejected,7921431,Credit,4980.91,4/22/2023,380188,Shopping,Credit,5119.74,402.69,44896.45
851088,9623,Savings,ILO,16075.66,455,5.39,347340.65,Personal,Closed,6174879,Credit,45119.41,3/7/2022,648899,Utilities,Debit,14462.45,14839.55,12680.55
739291,7531,Savings,GEN,35395.32,672,5.96,212652.9,Business,Pending,5091206,Debit,17809.02,4/26/2023,905229,Healthcare,Credit,69117.07,6551.06,66132.17
702054,7487,Savings,MNL,33925.99,551,3.43,173712.92,Home,Approved,8072154,Debit,15990.69,6/17/2023,500552,Shopping,Credit,46029.28,12458.54,87190.98
588055,6897,Current,GEN,50711.26,474,3.29,260610.86,Business,Closed,4694479,Debit,48399.72,12/25/2023,523540,Shopping,Debit,5495.37,18597.69,62302.21
